apn,address,city,state,zip,owner,phone,email,value,type,dnc,status,mail_addr,mail_zip,beds,baths,sqft,lot_sqft,year_built,years_owned,property_type,lat,lon
7938-033-029,6612 Highland Ave,Manhattan Beach,CA,90266,D. Placeholder,,,3832000,Owner,,new,6612 Highland Ave,90266,4,3,3120,16000,1986,15,Single Family,33.873221,-118.42393
7943-005-003,3011 Palos Verdes Dr,Rolling Hills Estates,CA,90274,A. Demoworth,,,2849000,Owner,,new,3011 Palos Verdes Dr,90274,5,4,4300,16400,2014,27,Single Family,33.80242,-118.36805
7849-015-023,1601 Prospect Ave,Rolling Hills Estates,CA,90274,E. Sample,,,1350000,Owner,,new,1601 Prospect Ave,90274,2,2,1540,2900,2017,14,Single Family,33.797404,-118.341253
7373-039-065,936 Camino Real,Palos Verdes Estates,CA,90274,L. Testerman,,,2524000,Owner,,new,936 Camino Real,90274,4,4,2580,6700,1987,40,Single Family,33.768562,-118.408885
7935-020-078,986 Via Campesina,Rancho Palos Verdes,CA,90275,A. Stubbs,,,1139000,Owner,,new,986 Via Campesina,90275,3,2,1700,3500,2006,4,Single Family,33.754241,-118.371405
7765-001-017,3242 Silver Spur Rd,Manhattan Beach,CA,90266,C. Example,,,3772000,Absentee,,new,7832 Wilshire Blvd,89109,5,4,4360,11300,1992,18,Single Family,33.878377,-118.396643
7842-038-044,4421 Crenshaw Blvd,Palos Verdes Estates,CA,90274,L. Testerman,,,2066000,Owner,,new,4421 Crenshaw Blvd,90274,3,3,1990,9000,1971,25,Single Family,33.779424,-118.381424
7827-020-081,1902 Prospect Ave,Rolling Hills Estates,CA,90274,B. Stubbs,,,2496000,Owner,,new,1902 Prospect Ave,90274,5,4,3770,14500,2017,12,Single Family,33.77634,-118.370768
7685-018-029,3413 Deep Valley Dr,Redondo Beach,CA,90277,F. Dummett,,,2292000,Owner,,new,3413 Deep Valley Dr,90277,5,4,4130,10300,2003,38,Single Family,33.845828,-118.385702
7300-034-088,588 Granvia Altamira,Manhattan Beach,CA,90266,A. Fixture,,,3432000,Owner,,new,588 Granvia Altamira,90266,5,4,3810,16700,2017,5,Single Family,33.875936,-118.402775
7690-004-077,1064 Hawthorne Blvd,Palos Verdes Estates,CA,90274,L. Placeholder,,,2423000,Owner,,new,1064 Hawthorne Blvd,90274,4,3,2870,6000,2006,31,Single Family,33.778722,-118.395529
7312-015-056,940 Rolling Hills Rd,Rancho Palos Verdes,CA,90275,H. Fixture,,,1493000,Owner,,new,940 Rolling Hills Rd,90275,2,1,1420,5900,1977,34,Condo,33.729134,-118.386053
7902-004-045,169 Camino Real,Rancho Palos Verdes,CA,90275,M. Sample,,,1767000,Owner,,new,169 Camino Real,90275,4,3,3080,11900,1985,23,Single Family,33.729027,-118.38215
7428-025-005,4950 Vista Del Mar,Rolling Hills Estates,CA,90274,D. Example,,,2492000,Owner,,new,4950 Vista Del Mar,90274,5,4,4480,23500,2009,22,Single Family,33.771897,-118.365329
7341-008-070,2589 Aviation Blvd,Manhattan Beach,CA,90266,A. Placeholder,,,3735000,Owner,,new,2589 Aviation Blvd,90266,5,5,4450,8800,2007,34,Condo,33.872953,-118.394801
7145-014-070,4051 Rolling Hills Rd,Rolling Hills Estates,CA,90274,L. Placeholder,,,2094000,Owner,,new,4051 Rolling Hills Rd,90274,4,3,2480,5900,2003,10,Single Family,33.790708,-118.360254
7845-032-021,2182 Granvia Altamira,Palos Verdes Estates,CA,90274,M. Example,,,2502000,Owner,,new,2182 Granvia Altamira,90274,5,4,3400,10200,1973,14,Single Family,33.782273,-118.41129
7543-009-015,1243 Prospect Ave,Palos Verdes Estates,CA,90274,L. Dummett,,,2009000,Owner,,new,1243 Prospect Ave,90274,3,2,1970,7000,1949,16,Single Family,33.76414,-118.397234
7301-028-038,5837 Granvia Altamira,Manhattan Beach,CA,90266,G. Dummett,,,3929000,Owner,,new,5837 Granvia Altamira,90266,5,4,4510,17600,1964,37,Condo,33.877718,-118.4008
7406-039-025,4938 Highland Ave,Manhattan Beach,CA,90266,J. Demoworth,,,3280000,Absentee,,new,5130 Ventura Blvd,90210,5,4,3280,7200,1974,25,Single Family,33.886798,-118.396318
7526-038-087,6714 Prospect Ave,Redondo Beach,CA,90277,H. Stubbs,,,2721000,Owner,,new,6714 Prospect Ave,90277,5,5,3890,14700,1955,18,Single Family,33.857673,-118.397596
7622-026-033,280 Aviation Blvd,Rancho Palos Verdes,CA,90275,G. Demoworth,,,1615000,Owner,,new,280 Aviation Blvd,90275,3,3,2020,5700,2004,26,Single Family,33.755256,-118.391933
7233-014-044,1338 Aviation Blvd,Rancho Palos Verdes,CA,90275,C. Fixture,,,2391000,Owner,,new,1338 Aviation Blvd,90275,5,4,3880,7700,1955,1,Single Family,33.742776,-118.394296
7222-002-043,5869 Camino Real,Palos Verdes Estates,CA,90274,J. Sample,,,1923000,Owner,,new,5869 Camino Real,90274,3,2,1640,5800,1999,37,Single Family,33.790725,-118.38478
7348-036-088,3426 Calle Mayor,Redondo Beach,CA,90277,K. Dummett,,,2671000,Owner,,new,3426 Calle Mayor,90277,5,4,4410,14200,2013,22,Single Family,33.838888,-118.383724
7750-010-041,5709 Crenshaw Blvd,Rolling Hills Estates,CA,90274,D. Sample,,,2610000,Owner,,new,5709 Crenshaw Blvd,90274,5,5,4200,21900,2017,14,Single Family,33.77894,-118.366786
7132-026-042,3290 Granvia Altamira,Torrance,CA,90503,G. Placeholder,,,1928000,Owner,,new,3290 Granvia Altamira,90503,5,4,3610,14600,1962,24,Single Family,33.819945,-118.355421
7209-019-068,3313 Camino Real,Rolling Hills Estates,CA,90274,G. Sampleton,,,1995000,Absentee,,new,6713 Ventura Blvd,89109,4,4,2450,6300,1998,15,Single Family,33.79158,-118.34076
7339-026-065,1952 Calle Mayor,Rolling Hills Estates,CA,90274,L. Fixture,,,2093000,Owner,,new,1952 Calle Mayor,90274,4,3,2440,13400,2012,9,Single Family,33.8016,-118.342837
7287-012-062,6657 Aviation Blvd,Palos Verdes Estates,CA,90274,L. Placeholder,,,1689000,Owner,,new,6657 Aviation Blvd,90274,2,2,1270,5800,2017,38,Condo,33.771784,-118.386667
7407-020-055,3078 Crenshaw Blvd,Rolling Hills Estates,CA,90274,F. Dummett,,,2017000,Owner,,new,3078 Crenshaw Blvd,90274,4,3,2330,10000,1997,24,Single Family,33.798282,-118.363603
7577-035-064,2374 Rolling Hills Rd,Manhattan Beach,CA,90266,A. Fixture,,,2408000,Owner,,new,2374 Rolling Hills Rd,90266,2,1,1550,7500,1954,4,Single Family,33.869429,-118.420643
7327-016-098,3338 Hawthorne Blvd,Manhattan Beach,CA,90266,J. Dummett,,,4524000,Owner,,new,3338 Hawthorne Blvd,90266,5,5,4540,21400,1993,4,Single Family,33.893673,-118.399669
7548-001-041,5717 Deep Valley Dr,Torrance,CA,90503,L. Sampleton,,,1555000,Owner,,new,5717 Deep Valley Dr,90503,5,4,3860,14700,2008,26,Single Family,33.82663,-118.334951
7687-006-040,3476 Crenshaw Blvd,Torrance,CA,90503,H. Example,,,824000,Owner,,new,3476 Crenshaw Blvd,90503,2,1,1460,7600,2004,17,Single Family,33.822854,-118.329723
7371-011-069,6708 Aviation Blvd,Rancho Palos Verdes,CA,90275,D. Sampleton,,,1976000,Owner,,new,6708 Aviation Blvd,90275,4,3,2730,5900,2016,3,Single Family,33.732246,-118.374931
7554-011-062,6150 Silver Spur Rd,Rancho Palos Verdes,CA,90275,E. Dummett,,,1783000,Owner,,new,6150 Silver Spur Rd,90275,3,3,1850,6700,1985,27,Single Family,33.744572,-118.39953
7278-032-006,2113 Calle Mayor,Manhattan Beach,CA,90266,K. Example,,,3869000,Absentee,,new,5453 Wilshire Blvd,94105,5,4,3250,15600,2017,37,Single Family,33.882349,-118.416416
7488-027-032,6253 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,A. Stubbs,,,2123000,Owner,,new,6253 Hawthorne Blvd,90275,5,5,3340,8200,2010,41,Single Family,33.735774,-118.37016
7840-022-042,488 Esplanade,Palos Verdes Estates,CA,90274,J. Dummett,,,3405000,Absentee,,new,1311 Ventura Blvd,91403,5,4,4110,16100,1970,0,Single Family,33.761155,-118.390192
7699-038-010,706 Rolling Hills Rd,Rancho Palos Verdes,CA,90275,F. Sampleton,,,1518000,Owner,,new,706 Rolling Hills Rd,90275,3,3,1710,5600,1958,2,Single Family,33.730685,-118.381145
7347-008-057,4689 Granvia Altamira,Rolling Hills Estates,CA,90274,L. Dummett,,,2108000,Absentee,,new,2656 Main St,91403,4,3,2820,10900,2015,36,Condo,33.784763,-118.343731
7667-020-055,4123 Hawthorne Blvd,Palos Verdes Estates,CA,90274,A. Example,,,3306000,Owner,,new,4123 Hawthorne Blvd,90274,5,4,4010,11300,1979,38,Single Family,33.768864,-118.404873
7219-023-041,4552 Rolling Hills Rd,Torrance,CA,90503,L. Mockton,,,1982000,Absentee,,new,2044 Main St,91403,5,4,4090,20900,1992,34,Single Family,33.848532,-118.331867
7418-028-023,2439 Esplanade,Palos Verdes Estates,CA,90274,D. Mockton,,,2838000,Absentee,,new,5403 Ventura Blvd,91403,5,4,4410,14200,2002,6,Single Family,33.769956,-118.377694
7990-035-081,2164 Anza Ave,Redondo Beach,CA,90277,C. Mockton,,,1589000,Absentee,,new,4256 Ventura Blvd,89109,4,4,2380,12800,1996,30,Condo,33.831632,-118.371859
7751-008-034,4355 Camino Real,Palos Verdes Estates,CA,90274,J. Stubbs,,,2851000,Owner,,new,4355 Camino Real,90274,5,4,3580,14500,2010,12,Single Family,33.776124,-118.379226
7918-036-025,1011 Highland Ave,Manhattan Beach,CA,90266,K. Sampleton,,,4137000,Owner,,new,1011 Highland Ave,90266,5,4,3840,7100,1959,19,Single Family,33.887592,-118.407146
7862-005-063,467 Camino Real,Rolling Hills Estates,CA,90274,M. Sampleton,,,1512000,Owner,,new,467 Camino Real,90274,2,1,1520,7100,1979,22,Single Family,33.782039,-118.361327
7584-038-087,3751 Rolling Hills Rd,Rolling Hills Estates,CA,90274,E. Placeholder,,,2079000,Owner,,new,3751 Rolling Hills Rd,90274,4,3,2730,5300,1956,37,Single Family,33.77456,-118.346804
7532-009-003,1553 Highland Ave,Rancho Palos Verdes,CA,90275,M. Sampleton,,,2555000,Owner,,new,1553 Highland Ave,90275,5,5,3800,17900,1994,24,Single Family,33.759387,-118.374714
7542-002-054,113 Anza Ave,Manhattan Beach,CA,90266,C. Testerman,,,4120000,Absentee,,new,7202 Wilshire Blvd,89109,5,4,3820,7800,2011,37,Single Family,33.880772,-118.423008
7328-024-059,3746 Hawthorne Blvd,Rolling Hills Estates,CA,90274,F. Example,,,2505000,Owner,,new,3746 Hawthorne Blvd,90274,5,5,3770,10000,1963,21,Single Family,33.790959,-118.343489
7349-003-087,6239 Palos Verdes Dr,Palos Verdes Estates,CA,90274,A. Example,,,2464000,Absentee,,new,6142 Wilshire Blvd,94105,5,4,3360,15600,1986,21,Single Family,33.785578,-118.379135
7408-033-018,1006 Via Campesina,Palos Verdes Estates,CA,90274,G. Sampleton,,,2638000,Owner,,new,1006 Via Campesina,90274,4,3,2880,12200,1949,35,Single Family,33.787502,-118.379532
7110-003-009,5000 Via Campesina,Torrance,CA,90503,G. Demoworth,,,704000,Absentee,,new,6659 Main St,91403,2,1,1320,5600,1956,19,Single Family,33.820307,-118.332109
7526-008-042,2092 Esplanade,Rancho Palos Verdes,CA,90275,H. Dummett,,,1603000,Absentee,,new,3692 Main St,91403,3,3,2280,8500,2004,3,Single Family,33.731718,-118.38937
7285-023-038,2049 Camino Real,Rolling Hills Estates,CA,90274,H. Testerman,,,1712000,Owner,,new,2049 Camino Real,90274,2,1,1370,5700,2011,41,Single Family,33.777001,-118.369015
7960-033-064,1091 Rolling Hills Rd,Palos Verdes Estates,CA,90274,C. Mockton,,,3059000,Absentee,,new,4110 Main St,94105,4,4,2850,4800,2014,13,Single Family,33.789665,-118.39055
7926-024-040,5178 Highland Ave,Rolling Hills Estates,CA,90274,A. Testerman,,,2478000,Absentee,,new,1688 Wilshire Blvd,90210,5,5,4540,16700,1969,32,Single Family,33.78194,-118.348286
7864-001-005,6002 Crenshaw Blvd,Rancho Palos Verdes,CA,90275,L. Mockton,,,2037000,Absentee,,new,3843 Wilshire Blvd,89109,5,4,3580,16600,1961,21,Condo,33.761054,-118.383749
7351-037-015,648 Aviation Blvd,Manhattan Beach,CA,90266,G. Mockton,,,3543000,Owner,,new,648 Aviation Blvd,90266,5,4,3870,16900,2003,11,Condo,33.89885,-118.417289
7140-030-021,2739 Highland Ave,Rolling Hills Estates,CA,90274,M. Stubbs,,,2338000,Absentee,,new,5677 Wilshire Blvd,89109,4,3,2560,13500,1989,17,Single Family,33.789073,-118.35206
7571-027-061,1379 Highland Ave,Torrance,CA,90503,F. Sampleton,,,1032000,Owner,,new,1379 Highland Ave,90503,4,3,2540,10600,1983,8,Single Family,33.84105,-118.334346
7521-002-060,2571 Deep Valley Dr,Rolling Hills Estates,CA,90274,A. Fixture,,,2270000,Absentee,,new,8230 Main St,91403,4,3,2670,6800,1992,2,Single Family,33.800455,-118.351188
7415-009-093,616 Esplanade,Torrance,CA,90503,G. Placeholder,,,1541000,Owner,,new,616 Esplanade,90503,4,3,3070,9400,1993,23,Single Family,33.837812,-118.338152
7198-015-089,1832 Silver Spur Rd,Rancho Palos Verdes,CA,90275,G. Placeholder,,,2172000,Owner,,new,1832 Silver Spur Rd,90275,4,3,3070,4900,1991,24,Condo,33.738456,-118.403937
7472-008-084,4034 Camino Real,Manhattan Beach,CA,90266,F. Mockton,,,3140000,Owner,,new,4034 Camino Real,90266,5,4,3500,14700,2012,22,Single Family,33.870587,-118.425597
7175-015-007,119 Prospect Ave,Rancho Palos Verdes,CA,90275,B. Fixture,,,2702000,Owner,,new,119 Prospect Ave,90275,5,5,4200,22500,2009,18,Single Family,33.736769,-118.380937
7300-015-061,1601 Crenshaw Blvd,Palos Verdes Estates,CA,90274,M. Placeholder,,,2995000,Owner,,new,1601 Crenshaw Blvd,90274,4,3,3160,17000,1968,3,Condo,33.79304,-118.39581
7493-029-029,1270 Palos Verdes Dr,Rancho Palos Verdes,CA,90275,J. Dummett,,,2715000,Owner,,new,1270 Palos Verdes Dr,90275,5,4,3880,7000,1986,32,Single Family,33.743159,-118.375871
7372-019-040,3974 Granvia Altamira,Manhattan Beach,CA,90266,M. Sampleton,,,3312000,Owner,,new,3974 Granvia Altamira,90266,4,4,3190,10200,1976,27,Single Family,33.87301,-118.41296
7707-013-010,6195 Rolling Hills Rd,Palos Verdes Estates,CA,90274,D. Stubbs,,,3693000,Owner,,new,6195 Rolling Hills Rd,90274,5,4,4320,10800,1953,38,Single Family,33.779682,-118.406256
7770-022-009,6525 Vista Del Mar,Rancho Palos Verdes,CA,90275,A. Sample,,,2309000,Owner,,new,6525 Vista Del Mar,90275,5,4,4450,8500,2006,22,Single Family,33.741646,-118.377367
7949-028-074,1733 Calle Mayor,Palos Verdes Estates,CA,90274,D. Example,,,3421000,Absentee,,new,503 Ventura Blvd,94105,5,5,3620,9900,1991,26,Condo,33.767186,-118.401921
7820-013-062,618 Esplanade,Rolling Hills Estates,CA,90274,A. Fixture,,,2251000,Owner,,new,618 Esplanade,90274,4,3,2880,7300,1955,22,Condo,33.76997,-118.352623
7949-008-041,4483 Deep Valley Dr,Manhattan Beach,CA,90266,G. Sampleton,,,3503000,Owner,,new,4483 Deep Valley Dr,90266,3,2,2160,6000,1991,10,Single Family,33.889112,-118.401729
7268-022-089,5679 Hawthorne Blvd,Rolling Hills Estates,CA,90274,K. Dummett,,,2073000,Owner,,new,5679 Hawthorne Blvd,90274,3,2,1980,6200,1950,28,Single Family,33.776421,-118.373721
7294-035-077,4987 Deep Valley Dr,Palos Verdes Estates,CA,90274,A. Sampleton,,,1582000,Absentee,,new,1401 Wilshire Blvd,94105,2,1,1330,2200,1959,0,Single Family,33.773461,-118.409323
7495-017-056,3649 Calle Mayor,Manhattan Beach,CA,90266,A. Testerman,,,3276000,Owner,,new,3649 Calle Mayor,90266,2,1,1330,4600,1961,36,Single Family,33.871117,-118.421377
7321-033-030,5728 Vista Del Mar,Rolling Hills Estates,CA,90274,K. Testerman,,,2090000,Absentee,,new,380 Main St,89109,4,4,2940,10900,1982,35,Condo,33.799724,-118.359708
7970-029-096,1917 Vista Del Mar,Rancho Palos Verdes,CA,90275,J. Sampleton,,,1194000,Owner,,new,1917 Vista Del Mar,90275,3,2,1760,5100,2008,41,Single Family,33.760642,-118.400717
